chamber,district,fullname,firstname,lastname,party,town
House,143, Rep. Stephen S. Stanley (D - Medway),Stephen S.,Stanley,D,Medway
House,144, Rep. Gregory Lewis Swallow (R - Houlton),Gregory Lewis,Swallow,R,Houlton
House,145, Rep. Chris A. Johansen (R - Monticello),Chris A.,Johansen,R,Monticello
House,146, Rep. Dustin Michael White (R - Washburn),Dustin Michael,White,R,Washburn
House,147, Assistant Minority Leader Harold Trey L. Stewart (R - Presque Isle),Trey,Stewart,R,Presque Isle
House,148, Rep. David Harold McCrea (D - Fort Fairfield),David Harold,McCrea,D,Fort Fairfield
House,149, Rep. John DeVeau (R - Caribou),John,DeVeau,R,Caribou
House,150, Rep. Roland Danny Martin (D - Sinclair),Roland Danny,Martin,D,Sinclair
House,151, Rep. John L. Martin (D - Eagle Lake),John,Martin,D,Eagle Lake
House,, Rep. Rena D. Newell (Tribal Member),Rena,Newell,,
Senate,1,Sen. Troy Jackson (D - Aroostook),Troy,Jackson,D,Aroostook
Senate,2,Sen. Michael Carpenter (D - Aroostook),Michael,Carpenter,D,Aroostook
Senate,3,Sen. Bradlee Farrin (R - Somerset),Bradlee,Farrin,R,Somerset
Senate,4,Sen. Paul Davis (R - Piscataquis),Paul,Davis,R,Piscataquis
Senate,5,Sen. James Dill (D - Penobscot),James,Dill,D,Penobscot
Senate,6,Sen. Marianne Moore (R - Washington),Marianne,Moore,R,Washington
Senate,7,Sen. Louis Luchini (D - Hancock),Louis,Luchini,D,Hancock
Senate,8,Sen. Kimberley Rosen (R - Hancock),Kimberley,Rosen,R,Hancock
Senate,9,Sen. Geoffrey Gratwick (D - Penobscot),Geoffrey,Gratwick,D,Penobscot
Senate,10,Sen. Stacey Guerin (R - Penobscot),Stacey,Guerin,R,Penobscot
Senate,11,Sen. Erin Herbig (D - Waldo),Erin,Herbig,D,Waldo
Senate,12,Sen. David Miramant (D - Knox),David,Miramant,D,Knox
Senate,13,Sen. Dana Dow (R - Lincoln),Dana,Dow,R,Lincoln
Senate,14,Sen. Shenna Bellows (D - Kennebec),Shenna,Bellows,D,Kennebec
Senate,15,Sen. Matthew Pouliot (R - Kennebec),Matthew,Pouliot,R,Kennebec
Senate,16,Sen. Scott Cyrway (R - Kennebec),Scott,Cyrway,R,Kennebec
Senate,17,Sen. Russell Black (R - Franklin),Russell,Black,R,Franklin
Senate,18,Sen. Lisa Keim (R - Oxford),Lisa,Keim,R,Oxford
Senate,19,Sen. James Hamper (R - Oxford),James,Hamper,R,Oxford
Senate,20,Sen. Ned Claxton (D - Androscoggin),Ned,Claxton,D,Androscoggin
Senate,21,Sen. Nathan Libby (D - Androscoggin),Nathan,Libby,D,Androscoggin
Senate,22,Sen. Jeffrey Timberlake (R - Androscoggin),Jeffrey,Timberlake,R,Androscoggin
Senate,23,Sen. Eloise Vitelli (D - Sagadahoc),Eloise,Vitelli,D,Sagadahoc
Senate,24,Sen. Brownie Carson (D - Cumberland),Brownie,Carson,D,Cumberland
Senate,25,Sen. Catherine Breen (D - Cumberland),Catherine,Breen,D,Cumberland
Senate,26,Sen. Bill Diamond (D - Cumberland),Bill,Diamond,D,Cumberland
Senate,27,Sen. Benjamin Chipman (D - Cumberland),Benjamin,Chipman,D,Cumberland
Senate,28,Sen. Heather Sanborn (D - Cumberland),Heather,Sanborn,D,Cumberland
Senate,29,Sen. Rebecca Millett (D - Cumberland),Rebecca,Millett,D,Cumberland
Senate,30,Sen. Linda Sanborn (D - Cumberland),Linda,Sanborn,D,Cumberland
Senate,31,Sen. Justin Chenette (D - York),Justin,Chenette,D,York
Senate,32,Sen. Susan Deschambault (D - York),Susan,Deschambault,D,York
Senate,33,Sen. David Woodsome (R - York),David,Woodsome,R,York
Senate,34,Sen. Robert Foley (R - York),Robert,Foley,R,York
Senate,35,Sen. Mark Lawrence (D - York),Mark,Lawrence,D,York
